Model,DPO3012
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0004,,,Horizontal Scale,0.01
Sample Interval,4e-07,,,Sample Interval,1e-05
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,1,,Vertical Scale,0.5
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-2.0000e-03,1.36,1,,-5.0000e-02,0.66
-1.9996e-03,1.44,1.12,,-4.9990e-02,0.7
-1.9992e-03,1.36,1.16,,-4.9980e-02,0.68
-1.9988e-03,1.4,1.12,,-4.9970e-02,0.66
-1.9984e-03,1.36,1.2,,-4.9960e-02,0.64
-1.9980e-03,1.44,1.16,,-4.9950e-02,0.7
-1.9976e-03,1.32,1.16,,-4.9940e-02,0.66
-1.9972e-03,1.36,1.2,,-4.9930e-02,0.66
-1.9968e-03,1.4,1.32,,-4.9920e-02,0.66
-1.9964e-03,1.48,1.28,,-4.9910e-02,0.68
-1.9960e-03,1.4,1.28,,-4.9900e-02,0.68
-1.9956e-03,1.36,1.36,,-4.9890e-02,0.68
-1.9952e-03,1.4,1.32,,-4.9880e-02,0.68
-1.9948e-03,1.44,1.32,,-4.9870e-02,0.64
-1.9944e-03,1.44,1.28,,-4.9860e-02,0.66
-1.9940e-03,1.4,1.32,,-4.9850e-02,0.68
-1.9936e-03,1.44,1.36,,-4.9840e-02,0.68
-1.9932e-03,1.44,1.4,,-4.9830e-02,0.68
-1.9928e-03,1.48,1.44,,-4.9820e-02,0.68
-1.9924e-03,1.4,1.36,,-4.9810e-02,0.66
-1.9920e-03,1.4,1.48,,-4.9800e-02,0.66
-1.9916e-03,1.36,1.36,,-4.9790e-02,0.68
-1.9912e-03,1.36,1.4,,-4.9780e-02,0.64
-1.9908e-03,1.28,1.44,,-4.9770e-02,0.64
-1.9904e-03,1.48,1.44,,-4.9760e-02,0.7
-1.9900e-03,1.48,1.44,,-4.9750e-02,0.68
-1.9896e-03,1.52,1.44,,-4.9740e-02,0.72
-1.9892e-03,1.44,1.44,,-4.9730e-02,0.66
-1.9888e-03,1.4,1.4,,-4.9720e-02,0.66
-1.9884e-03,1.4,1.44,,-4.9710e-02,0.7
