Model,DPO3012
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0002,,,Horizontal Scale,0.01
Sample Interval,2e-07,,,Sample Interval,1e-05
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,0.5,0.5,,Vertical Scale,0.5
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-1.000e-03,1.33,0.86,,-5.0000e-02,0.66
-9.998e-04,1.47,0.84,,-4.9990e-02,0.7
-9.996e-04,1.49,0.84,,-4.9980e-02,0.68
-9.994e-04,1.47,0.82,,-4.9970e-02,0.66
-9.992e-04,1.47,0.78,,-4.9960e-02,0.64
-9.990e-04,1.47,0.8,,-4.9950e-02,0.7
-9.988e-04,1.47,0.84,,-4.9940e-02,0.66
-9.986e-04,1.51,0.84,,-4.9930e-02,0.66
-9.984e-04,1.49,0.84,,-4.9920e-02,0.66
-9.982e-04,1.51,0.82,,-4.9910e-02,0.68
-9.980e-04,1.49,0.86,,-4.9900e-02,0.68
-9.978e-04,1.51,0.84,,-4.9890e-02,0.68
-9.976e-04,1.51,0.84,,-4.9880e-02,0.68
-9.974e-04,1.49,0.82,,-4.9870e-02,0.64
-9.972e-04,1.51,0.86,,-4.9860e-02,0.66
-9.970e-04,1.45,0.88,,-4.9850e-02,0.68
-9.968e-04,1.49,0.86,,-4.9840e-02,0.68
-9.966e-04,1.47,0.88,,-4.9830e-02,0.68
-9.964e-04,1.49,0.9,,-4.9820e-02,0.68
-9.962e-04,1.49,0.88,,-4.9810e-02,0.66
-9.960e-04,1.51,0.88,,-4.9800e-02,0.66
-9.958e-04,1.53,0.88,,-4.9790e-02,0.68
-9.956e-04,1.49,0.88,,-4.9780e-02,0.64
-9.954e-04,1.45,0.86,,-4.9770e-02,0.64
-9.952e-04,1.51,0.84,,-4.9760e-02,0.7
-9.950e-04,1.45,0.84,,-4.9750e-02,0.68
-9.948e-04,1.43,0.88,,-4.9740e-02,0.72
-9.946e-04,1.47,0.9,,-4.9730e-02,0.66
-9.944e-04,1.49,0.88,,-4.9720e-02,0.66
-9.942e-04,1.45,0.9,,-4.9710e-02,0.7
-9.940e-04,1.49,0.92,,-4.9700e-02,0.68
-9.938e-04,1.53,0.9,,-4.9690e-02,0.68
